as_of,source,executed,equity,n_targets,cash_weight,n_orders,top,labeled,horizon_days,portfolio_return,benchmark_return,excess_return
2026-07-28,alpaca_paper,True,99897.82,273,0.0035284857718368423,42,PINS:1.2%; ZS:1.2%; PNC:1.0%; MPC:0.9%; ROKU:0.8%,True,1.0,-0.0036014792142500906,-0.015387473482586067,0.011785994268335976
2026-07-29,alpaca_paper,True,98627.16,273,0.002980523016938297,231,RSG:1.1%; ZS:1.0%; ANET:0.9%; ROKU:0.8%; PINS:0.8%,True,1.0,-0.0008019280195733891,0.01676579949601198,-0.017567727515585368
2026-07-30,alpaca_paper,True,98970.79,273,0.003479456564000505,216,KHC:1.0%; ANET:1.0%; ROKU:0.9%; PSX:0.9%; ZS:0.8%,True,1.0,-0.0005015556631841884,0.007199809675054292,-0.007701365338238481
2026-08-03,alpaca_paper,True,100252.45,272,0.0059834437720387434,195,PSX:1.0%; KHC:1.0%; ZS:1.0%; SNOW:0.9%; ANET:0.9%,True,1.0,0.014703792034011889,0.018029002715958642,-0.003325210681946753
2026-08-04,alpaca_paper,True,101660.22,273,0.00381876154857419,199,ZS:1.1%; RSG:1.1%; ROKU:1.1%; KHC:1.0%; PSX:0.9%,True,1.0,-0.002465884370359323,-0.0019966020100066206,-0.0004692823603527022
2026-08-06,alpaca_paper,True,102359.22,273,0.0038776459470427627,214,ROKU:1.0%; PINS:0.9%; RSG:0.8%; TMO:0.7%; DASH:0.7%,True,1.0,0.010872423656988742,0.006115348472417681,0.004757075184571061
2026-08-07,alpaca_paper,True,102443.08,272,0.008024306207502496,190,PINS:1.0%; ROKU:0.9%; MPC:0.8%; PNC:0.8%; APD:0.7%,True,1.0,0.004358679265519906,-0.00029741673673222557,0.004656096002252132
2026-08-10,alpaca_paper,True,101749.25,273,0.003484920801276603,172,PINS:0.9%; ROKU:0.8%; APD:0.8%; SBUX:0.8%; MPC:0.7%,True,1.0,0.0013432287125017355,-0.0031952597501651026,0.004538488462666838
2026-08-11,alpaca_paper,True,102373.03,271,0.013391133290446278,193,PINS:1.0%; ZS:0.9%; PNC:0.8%; MPC:0.8%; INTU:0.8%,True,1.0,-0.00016255506516943527,0.0025046624297864195,-0.002667217494955855
2026-08-12,alpaca_paper,True,103126.71,272,0.008582099307257729,171,INTU:1.0%; PINS:0.9%; ROKU:0.9%; PNC:0.9%; MPC:0.9%,True,1.0,0.009721027730410198,0.006977455651952402,0.0027435720784577955
2026-08-13,alpaca_paper,True,103375.46,272,0.00818043599705931,155,ROKU:1.2%; INTU:1.1%; MPC:0.9%; ZS:0.8%; IDXX:0.8%,True,1.0,-0.002044717589936315,-0.0019797115463531245,-6.500604358319027e-05
2026-08-14,alpaca_paper,True,102800.5,272,0.007919714877071216,130,ROKU:1.1%; INTU:1.1%; MPC:0.9%; PINS:0.9%; ZS:0.8%,True,1.0,-0.00950778532019279,-0.004727366641364417,-0.0047804186788283735
2026-08-19,alpaca_paper,True,103002.85,272,0.008211936469157743,206,ZS:1.3%; ROKU:1.2%; PINS:1.0%; MPC:0.9%; PSX:0.8%,True,1.0,-0.007021398044805401,-0.008399893367440514,0.0013784953226351135
2026-08-20,alpaca_paper,True,103044.18,272,0.0067413602346590995,210,ZS:0.9%; ROKU:0.9%; WEC:0.8%; PSX:0.7%; PINS:0.7%,True,1.0,0.006410530812529586,0.0040912604472485015,0.002319270365281085
2026-08-21,alpaca_paper,True,103238.03,272,0.008200509356574126,171,PNC:0.9%; ZS:0.9%; ROKU:0.9%; PSX:0.8%; SO:0.8%,True,1.0,0.0012136709558173238,-0.0029384110198065194,0.004152081975623843
2026-08-24,alpaca_paper,True,103016.6,272,0.007246685013159837,171,ROKU:1.2%; SO:0.8%; ZS:0.8%; PSX:0.8%; PNC:0.8%,True,1.0,-0.002665861550423174,0.003195937672779925,-0.005861799223203099
2026-08-25,alpaca_paper,True,103021.05,271,0.011407468393488385,165,PNC:1.0%; ROKU:0.9%; PINS:0.9%; APD:0.9%; MPC:0.8%,True,1.0,0.00010710318688113845,0.0002220155779071309,-0.00011491239102599244
2026-08-26,alpaca_paper,True,103306.8,271,0.011265597476334266,182,INTU:1.1%; MPC:1.0%; PINS:0.9%; PNC:0.9%; ROKU:0.9%,True,1.0,0.004598420333149945,0.006552786111251541,-0.0019543657781015958
2026-08-27,alpaca_paper,True,103147.2,271,0.010655161651266343,138,INTU:1.0%; MPC:0.9%; PINS:0.9%; ZS:0.9%; ROKU:0.9%,True,1.0,-0.0013370491776573668,-0.002269485222937795,0.0009324360452804281
2026-08-28,alpaca_paper,True,102772.91,271,0.008822157858178636,196,WEC:1.0%; ROKU:0.9%; PINS:0.9%; GPN:0.8%; TDG:0.8%,False,,,,
